# Parameters for absolutely stable SQM
# Stellar matter stability window, ms0 = 100 MeV
# C        sqrt(D) [MeV]

-0.415000  178.000000
-0.415000  178.750000
-0.415000  179.500000
-0.400000  172.750000
-0.400000  173.500000
-0.400000  174.250000
-0.400000  175.000000
-0.400000  175.750000
-0.400000  176.500000
-0.400000  177.250000
-0.400000  178.000000
-0.400000  178.750000
-0.385000  172.000000
-0.385000  172.750000
-0.385000  173.500000
-0.385000  174.250000
-0.385000  175.000000
-0.385000  175.750000
-0.385000  176.500000
-0.385000  177.250000
-0.385000  178.000000
-0.370000  171.250000
-0.370000  172.000000
-0.370000  172.750000
-0.370000  173.500000
-0.370000  174.250000
-0.370000  175.000000
-0.370000  175.750000
-0.370000  176.500000
-0.370000  177.250000
-0.355000  170.500000
-0.355000  171.250000
-0.355000  172.000000
-0.355000  172.750000
-0.355000  173.500000
-0.355000  174.250000
-0.355000  175.000000
-0.355000  175.750000
-0.340000  169.750000
-0.340000  170.500000
-0.340000  171.250000
-0.340000  172.000000
-0.340000  172.750000
-0.340000  173.500000
-0.340000  174.250000
-0.340000  175.000000
-0.325000  169.000000
-0.325000  169.750000
-0.325000  170.500000
-0.325000  171.250000
-0.325000  172.000000
-0.325000  172.750000
-0.325000  173.500000
-0.325000  174.250000
-0.310000  169.000000
-0.310000  169.750000
-0.310000  170.500000
-0.310000  171.250000
-0.310000  172.000000
-0.310000  172.750000
-0.310000  173.500000
-0.295000  168.250000
-0.295000  169.000000
-0.295000  169.750000
-0.295000  170.500000
-0.295000  171.250000
-0.295000  172.000000
-0.295000  172.750000
-0.280000  167.500000
-0.280000  168.250000
-0.280000  169.000000
-0.280000  169.750000
-0.280000  170.500000
-0.280000  171.250000
-0.280000  172.000000
-0.265000  166.750000
-0.265000  167.500000
-0.265000  168.250000
-0.265000  169.000000
-0.265000  169.750000
-0.265000  170.500000
-0.265000  171.250000
-0.250000  166.000000
-0.250000  166.750000
-0.250000  167.500000
-0.250000  168.250000
-0.250000  169.000000
-0.250000  169.750000
-0.250000  170.500000
-0.235000  165.250000
-0.235000  166.000000
-0.235000  166.750000
-0.235000  167.500000
-0.235000  168.250000
-0.235000  169.000000
-0.235000  169.750000
-0.220000  164.500000
-0.220000  165.250000
-0.220000  166.000000
-0.220000  166.750000
-0.220000  167.500000
-0.220000  168.250000
-0.205000  163.750000
-0.205000  164.500000
-0.205000  165.250000
-0.205000  166.000000
-0.205000  166.750000
-0.205000  167.500000
-0.190000  163.000000
-0.190000  163.750000
-0.190000  164.500000
-0.190000  165.250000
-0.190000  166.000000
-0.190000  166.750000
-0.175000  163.000000
-0.175000  163.750000
-0.175000  164.500000
-0.175000  165.250000
-0.175000  166.000000
-0.160000  162.250000
-0.160000  163.000000
-0.160000  163.750000
-0.160000  164.500000
-0.160000  165.250000
-0.145000  161.500000
-0.145000  162.250000
-0.145000  163.000000
-0.145000  163.750000
-0.145000  164.500000
-0.130000  160.750000
-0.130000  161.500000
-0.130000  162.250000
-0.130000  163.000000
-0.130000  163.750000
-0.115000  160.000000
-0.115000  160.750000
-0.115000  161.500000
-0.115000  162.250000
-0.115000  163.000000
-0.100000  159.250000
-0.100000  160.000000
-0.100000  160.750000
-0.100000  161.500000
-0.100000  162.250000
-0.085000  158.500000
-0.085000  159.250000
-0.085000  160.000000
-0.085000  160.750000
-0.085000  161.500000
-0.070000  158.500000
-0.070000  159.250000
-0.070000  160.000000
-0.070000  160.750000
-0.055000  157.750000
-0.055000  158.500000
-0.055000  159.250000
-0.055000  160.000000
-0.040000  157.000000
-0.040000  157.750000
-0.040000  158.500000
-0.040000  159.250000
-0.025000  156.250000
-0.025000  157.000000
-0.025000  157.750000
-0.025000  158.500000
-0.010000  155.500000
-0.010000  156.250000
-0.010000  157.000000
-0.010000  157.750000
0.005000  154.750000
0.005000  155.500000
0.005000  156.250000
0.005000  157.000000
0.020000  154.750000
0.020000  155.500000
0.020000  156.250000
0.035000  154.000000
0.035000  154.750000
0.035000  155.500000
0.050000  153.250000
0.050000  154.000000
0.050000  154.750000
0.065000  152.500000
0.065000  153.250000
0.065000  154.000000
0.080000  151.750000
0.080000  152.500000
0.080000  153.250000
0.095000  151.000000
0.095000  151.750000
0.095000  152.500000
0.110000  151.000000
0.110000  151.750000
0.125000  150.250000
0.125000  151.000000
0.140000  149.500000
0.140000  150.250000
0.155000  148.750000
0.155000  149.500000
0.155000  150.250000
0.170000  148.000000
0.170000  148.750000
0.170000  149.500000
0.185000  148.000000
0.185000  148.750000
0.200000  147.250000
0.200000  148.000000
0.215000  146.500000
0.215000  147.250000
0.230000  145.750000
0.230000  146.500000
0.245000  145.750000
0.260000  145.000000
0.275000  144.250000
0.290000  143.500000
0.290000  144.250000
0.305000  142.750000
0.305000  143.500000
0.320000  142.750000
0.335000  142.000000
0.350000  141.250000
0.380000  140.500000
0.395000  139.750000
0.410000  139.000000
0.440000  138.250000
0.455000  137.500000
0.470000  136.750000
0.515000  135.250000
0.560000  133.750000
